"predictors","val_mae","val_rmse","val_rsq","train_rmse","train_rsquared","train_mae","val_rmse_orig","val_rsq_orig","val_mae_orig","train_rmse_orig","train_rsq_orig","train_mae_orig","aic","apc","fpe","hsp","msep","rmse","press","sbc_SAS","sbc_R","pred_rsq","rsq","adj_rsq","test_rmse","test_rsquared","test_mae","fstat","f_num_df","f_denom_df","predictor_count","best_per_metric","predictor_count_limited","max_allowed_predictors"
"Engine_HP  Transmission_Type  Luxury  Diesel  Exotic",0.14545439731651,0.19560981381902,0.925263224218227,0.202260645069761,0.905188454001847,0.151387731747846,28384.2861079597,0.837230934496905,11133.3761028616,24287.9732324322,0.82609066431769,10255.8795504551,-1452.85281824315,0.0950896536862435,0.0410393983218041,1.00194094323273e-05,167.851539227803,0.202433654756858,168.513439576164,-13037.4090873794,-1402.30873602278,0.904674952251827,0.905188454001847,0.905049366159307,0.215474414754948,0.901365313092,0.162650335385632,6508.03432903217,6,4090,5,"sbc_SAS  sbc_R","Yes",5
"Age  Engine_HP  Transmission_Type  Luxury  Exotic",0.148449701452341,0.19714564856555,0.924141484058061,0.203422600237884,0.904095970478049,0.151371201659424,28752.4950706549,0.833007912293624,11357.7344002148,24850.2258013704,0.817754440146862,10423.553313215,-1405.91429271358,0.0961853417571655,0.0415122823574047,1.0134859925279e-05,169.785639543539,0.203596603838058,170.490226335005,-12990.4705618498,-1355.3702104932,0.90355671923345,0.904095970478049,0.903955279970193,0.215563344120894,0.901290422740558,0.159595982584598,6426.13339204354,6,4090,5,"train_mae","Yes",5
"Engine_Cylinders  Engine_HP  Luxury  Flex_Fuel  Exotic",0.149445492047004,0.196347414728745,0.92446265824351,0.209154055430786,0.898615624142929,0.15995109512103,25687.8001623439,0.866333893737663,10221.1050924536,24266.4390960594,0.826895744899824,10270.3745776263,-1170.23992180357,0.101681763417639,0.0439274238276068,1.07244955490082e-05,179.487881587659,0.209435400053199,180.749684702412,-12729.5241498296,-1094.42379847301,0.897753126587051,0.898615624142929,0.898367497917141,0.222287336425747,0.896030239182444,0.167160090322944,3621.60679020636,10,4086,5,"val_rmse_orig  val_rsq_orig","Yes",5
"Engine_Cylinders  Engine_HP  Factory_Tuner  Luxury  Exotic",0.148399131765434,0.195502146508041,0.925101499911797,0.206710747591702,0.900970504275824,0.157573926868049,26045.1255824928,0.865007808121468,10143.6253579735,24261.3907764667,0.827182132106265,10149.0428318807,-1266.52455398012,0.0993199757898541,0.0429071106207008,1.04753950215336e-05,175.318871886973,0.206988805586371,176.620978422282,-12825.8087820062,-1190.70843064956,0.900088662104464,0.900970504275824,0.900728141339642,0.217762944571563,0.900073650962955,0.163431365677074,3717.44342789004,10,4086,5,"val_mae_orig","Yes",5
"Engine_HP  Transmission_Type  Factory_Tuner  Luxury  Exotic",0.147208740962253,0.195904369062554,0.925030858538936,0.204665536499953,0.902920420004845,0.15366258587731,27611.0027245923,0.845420058837282,10917.2977285708,24006.7107122922,0.830349799424974,10179.6575329634,-1356.0003142974,0.0973643404351306,0.0420211221153614,1.02590886927292e-05,171.866799114242,0.204840603282802,172.566678954568,-12940.5565834337,-1305.45623207703,0.902382107014955,0.902920420004845,0.902778004973068,0.21365944648699,0.902974234997724,0.161314852174,6340.06402789021,6,4090,5,"train_rmse_orig  train_rsq_orig","Yes",5
"Engine_Cylinders  Engine_HP  Transmission_Type  Driven_Wheels  Luxury  Exotic",0.139798715260364,0.189096175992795,0.929960224094926,0.198372029849814,0.908799057433785,0.149403434915247,27028.0248166823,0.8559252592,10191.9485264408,24547.6489489994,0.824155629141793,10001.2322163906,-1595.92278820965,0.0915131218317224,0.0395635475204611,9.65910145172264e-06,161.498920660342,0.198736171433622,162.928862181875,-13129.9349751255,-1494.8346237689,0.907834048096662,0.908799057433785,0.908486266351981,0.211149453959285,0.906261210002803,0.157714076963961,2905.45066755153,14,4082,6,"val_mae  val_rmse","Yes",6
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Exotic",0.144949717844128,0.190836297109759,0.928688872662201,0.196980299929021,0.910074255715562,0.148021941633067,26256.6104974756,0.862025315970854,10352.3322993213,24420.6661767145,0.825255396137016,10002.9025390022,-1657.61250554679,0.0902335585680524,0.0389912544198731,9.51938099020836e-06,159.240795466238,0.197293560130487,160.583971816345,-13204.2607130178,-1569.16036166113,0.909160510761128,0.910074255715562,0.909810027279858,0.210361689179203,0.906727779518668,0.155447127295624,3444.27068681074,12,4084,6,"rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  rsq  adj_rsq  train_rmse  train_mae","Yes",6
"Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Hybrid  Exotic",0.139844218332012,0.189157065871625,0.929977699441564,0.2000249165576,0.907272906311327,0.150009545838692,26528.4712071318,0.860534673889644,10167.8789695854,24179.1792617707,0.829041850676424,9963.98373928577,-1531.93114562477,0.093044496943353,0.0402059024409557,9.81592690681768e-06,164.201433947007,0.200343018650457,165.50451570558,-13078.5793530957,-1443.47900173911,0.906377046828707,0.907272906311327,0.907000446682467,0.211126298892982,0.905914775235044,0.157081681589809,3329.93519116057,12,4084,6,"val_rsq","Yes",6
"Age  Engine_Cylinders  Engine_HP  Luxury  Flex_Fuel  Exotic",0.1498691670177,0.195101327442596,0.925420694695473,0.202532229638685,0.904933667508372,0.154166292070057,25386.8413376829,0.868855561670622,10402.7012330112,24479.0468975107,0.823593617248953,10197.5876171685,-1431.85774184377,0.0953917429206948,0.0412100915030795,1.00610910701867e-05,168.34376549769,0.202829488452723,169.655604574331,-12984.8239595923,-1349.72360823566,0.90402884988005,0.904933667508372,0.904677674936179,0.215632893080753,0.90223335697827,0.161324470286564,3534.99970626705,11,4085,6,"val_rmse_orig","Yes",6
"Engine_Cylinders  Engine_HP  Factory_Tuner  Luxury  Flex_Fuel  Exotic",0.148027102499194,0.19499348641053,0.925486796503936,0.206555789874795,0.901118920679131,0.157650016904689,25607.8478871144,0.869268939641654,10053.6059708429,23999.5916363282,0.830673472606865,10108.0244295438,-1270.66937083185,0.0992195475630427,0.0428637375602462,1.04648145993559e-05,175.098931378432,0.206858954113102,176.432389280563,-12823.6355885804,-1188.53523722374,0.900195343618914,0.901118920679131,0.900852655838855,0.217047706456509,0.900702939962963,0.163226637699867,3384.29557482442,11,4085,6,"val_rsq_orig","Yes",6
